entity,instance,name,value,dataset_date,table_name,tag,check,date,category,level
Column,sum_stay_duration,Mean,459.7719544,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_move_duration,Mean,190.8381676,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_stay,Mean,0.541308262,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_move,Mean,0.482096419,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_hit,Sum,48280,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_duration_session,Sum,9802500,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_volume,Sum,88764499477,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,distance,Sum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_distance,Sum,8542.0431,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_stay_duration,Sum,6895200,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_move_duration,Sum,2862000,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_stay,Sum,8118,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_move,Sum,7230,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_hit,StandardDeviation,6.020036827,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_duration_session,StandardDeviation,2273.727544,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_volume,StandardDeviation,19989484.31,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,distance,StandardDeviation,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_distance,StandardDeviation,2.411921734,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_stay_duration,StandardDeviation,1795.013997,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_move_duration,StandardDeviation,809.2902638,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_stay,StandardDeviation,1.571825734,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_move,StandardDeviation,1.802580374,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_hit,ApproxQuantiles-0.25,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_duration_session,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_volume,ApproxQuantiles-0.25,24720,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,distance,ApproxQuantiles-0.25,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
